Název,Školní. Finále.,
Tajenka,1. večer 1. máj,
,,
Kategorie,Otázka,Odpověď
---,---,---
Rychlost,Jsem červené kolečko na bílé obdelníkové ploše. Co jsem?,Japonská vlajka
Aj,Na kterém nadráží ve kterém městě je nástupiště 9 a 3/4,"Londýn, King's Cross"
Aj,Kdy byl korunován Karel III.? (Tolerance +- 14 dní),6.5.2023
Aj,Použiješ ve větě since nebo for? I have worked here .......1999.,since
Aj,"What is the past simple form of the verb ""take""?",took
Aj,"What is the superlative of the adjective ""bad""?",the worst
Hv,V jakém věku předčasně zemřelo nejvíce rockových muzikantů?,27
Hv,Jan Jakub Ryba byl český:,hudební skladatel
Hv,"O kterém houslistovi se říkalo, že se spojil s ďáblem?",Niccolo Paganini
Hv,Kdo napsal a zpívá píseň Jožin z bažin?,Ivan Mládek (a Banjo band)
Hv,"Kdo je autorem hudby k filmu ""Piráti z Karibiku""?",Hans Zimmer
X,"Jmenuj město, které hostí Mezinárodní filmový festival, jehož hlavní cenou je Zlatá palma?",Cannes
X,"Jak se slovem latinského původu na F nazývá kousek, úlomek či část většího celku?",Fragment
X,"Jak se nazývá část výstroje hokejového brankáře, která mu chrání nohy a její název je podobný termínu ze stavebnictví?",Betony
X,Co je to cmunda ?,bramborák
X,Jaká česká mince je slisována ze dvou viditelných kusů kovu?,50Kč
Čj,Co je to archaismus?,zastaralý výraz
Čj,Jak se jmenoval vlk z Knihy džunglí ?,Akela
Čj,U které číslovky/číslovek nám zůstaly koncovky dvojného čísla (duálu)?,"u číslovky dva, oba"
Čj,Který z českých skladatelů se narodil v Nelahovsi?,A. Dvořák
Čj,Jakým slovním druhem je slovo RÁD?,přídavné jméno (jmenný tvar příd. jména)
M,Kolik vrcholů má krychle?,8
M,"Vyjádři 105,25 % desetinným číslem.","1,0525"
M,Jaký je nejmenší společný násobek čísel 4 a 11,44
M,"Je pravda, že v každém trojúhelníku jsou aspoň tři vnitřní úhly ostré?",Ne
M,Se kterou osou je rovnoběžná konstantní funkce,s vodorovnou osou x.
